ReleaseDates,MeasureMonth,CrossDate
24/03/1949,28/02/1949,01/02/1949
22/04/1949,31/03/1949,01/03/1949
23/05/1949,30/04/1949,01/04/1949
24/06/1949,31/05/1949,01/05/1949
22/07/1949,30/06/1949,01/06/1949
26/08/1949,31/07/1949,01/07/1949
28/09/1949,31/08/1949,01/08/1949
28/10/1949,30/09/1949,01/09/1949
28/11/1949,31/10/1949,01/10/1949
28/12/1949,30/11/1949,01/11/1949
26/01/1950,31/12/1949,01/12/1949
24/02/1950,31/01/1950,01/01/1950
25/03/1950,28/02/1950,01/02/1950
22/04/1950,31/03/1950,01/03/1950
20/05/1950,30/04/1950,01/04/1950
25/06/1950,31/05/1950,01/05/1950
22/07/1950,30/06/1950,01/06/1950
23/08/1950,31/07/1950,01/07/1950
24/09/1950,31/08/1950,01/08/1950
24/10/1950,30/09/1950,01/09/1950
29/11/1950,31/10/1950,01/10/1950
23/12/1950,30/11/1950,01/11/1950
25/01/1951,31/12/1950,01/12/1950
02/03/1951,31/01/1951,01/01/1951
24/03/1951,28/02/1951,01/02/1951
20/04/1951,31/03/1951,01/03/1951
23/05/1951,30/04/1951,01/04/1951
27/06/1951,31/05/1951,01/05/1951
26/07/1951,30/06/1951,01/06/1951
24/08/1951,31/07/1951,01/07/1951
21/09/1951,31/08/1951,01/08/1951
25/10/1951,30/09/1951,01/09/1951
23/11/1951,31/10/1951,01/10/1951
21/12/1951,30/11/1951,01/11/1951
25/01/1952,31/12/1951,01/12/1951
26/02/1952,31/01/1952,01/01/1952
21/03/1952,29/02/1952,01/02/1952
22/04/1952,31/03/1952,01/03/1952
22/05/1952,30/04/1952,01/04/1952
19/06/1952,31/05/1952,01/05/1952
24/07/1952,30/06/1952,01/06/1952
21/08/1952,31/07/1952,01/07/1952
19/09/1952,31/08/1952,01/08/1952
24/10/1952,30/09/1952,01/09/1952
21/11/1952,31/10/1952,01/10/1952
19/12/1952,30/11/1952,01/11/1952
16/01/1953,31/12/1952,01/12/1952
27/02/1953,31/01/1953,01/01/1953
26/03/1953,28/02/1953,01/02/1953
22/04/1953,31/03/1953,01/03/1953
22/05/1953,30/04/1953,01/04/1953
23/06/1953,31/05/1953,01/05/1953
22/07/1953,30/06/1953,01/06/1953
26/08/1953,31/07/1953,01/07/1953
23/09/1953,31/08/1953,01/08/1953
28/10/1953,30/09/1953,01/09/1953
25/11/1953,31/10/1953,01/10/1953
23/12/1953,30/11/1953,01/11/1953
22/01/1954,31/12/1953,01/12/1953
26/02/1954,31/01/1954,01/01/1954
24/03/1954,28/02/1954,01/02/1954
22/04/1954,31/03/1954,01/03/1954
21/05/1954,30/04/1954,01/04/1954
22/06/1954,31/05/1954,01/05/1954
23/07/1954,30/06/1954,01/06/1954
20/08/1954,31/07/1954,01/07/1954
24/09/1954,31/08/1954,01/08/1954
26/10/1954,30/09/1954,01/09/1954
24/11/1954,31/10/1954,01/10/1954
22/12/1954,30/11/1954,01/11/1954
21/01/1955,31/12/1954,01/12/1954
25/02/1955,31/01/1955,01/01/1955
23/03/1955,28/02/1955,01/02/1955
22/04/1955,31/03/1955,01/03/1955
20/05/1955,30/04/1955,01/04/1955
23/06/1955,31/05/1955,01/05/1955
26/07/1955,30/06/1955,01/06/1955
23/08/1955,31/07/1955,01/07/1955
23/09/1955,31/08/1955,01/08/1955
21/10/1955,30/09/1955,01/09/1955
22/11/1955,31/10/1955,01/10/1955
21/12/1955,30/11/1955,01/11/1955
20/01/1956,31/12/1955,01/12/1955
24/02/1956,31/01/1956,01/01/1956
26/03/1956,29/02/1956,01/02/1956
25/04/1956,31/03/1956,01/03/1956
24/05/1956,30/04/1956,01/04/1956
26/06/1956,31/05/1956,01/05/1956
24/07/1956,30/06/1956,01/06/1956
24/08/1956,31/07/1956,01/07/1956
21/09/1956,31/08/1956,01/08/1956
25/10/1956,30/09/1956,01/09/1956
26/11/1956,31/10/1956,01/10/1956
21/12/1956,30/11/1956,01/11/1956
25/01/1957,31/12/1956,01/12/1956
21/02/1957,31/01/1957,01/01/1957
22/03/1957,28/02/1957,01/02/1957
23/04/1957,31/03/1957,01/03/1957
24/05/1957,30/04/1957,01/04/1957
25/06/1957,31/05/1957,01/05/1957
24/07/1957,30/06/1957,01/06/1957
22/08/1957,31/07/1957,01/07/1957
24/09/1957,31/08/1957,01/08/1957
25/10/1957,30/09/1957,01/09/1957
22/11/1957,31/10/1957,01/10/1957
20/12/1957,30/11/1957,01/11/1957
21/01/1958,31/12/1957,01/12/1957
25/02/1958,31/01/1958,01/01/1958
21/03/1958,28/02/1958,01/02/1958
23/04/1958,31/03/1958,01/03/1958
22/05/1958,30/04/1958,01/04/1958
24/06/1958,31/05/1958,01/05/1958
23/07/1958,30/06/1958,01/06/1958
22/08/1958,31/07/1958,01/07/1958
19/09/1958,31/08/1958,01/08/1958
23/10/1958,30/09/1958,01/09/1958
25/11/1958,31/10/1958,01/10/1958
23/12/1958,30/11/1958,01/11/1958
23/01/1959,31/12/1958,01/12/1958
20/02/1959,31/01/1959,01/01/1959
25/03/1959,28/02/1959,01/02/1959
22/04/1959,31/03/1959,01/03/1959
22/05/1959,30/04/1959,01/04/1959
19/06/1959,31/05/1959,01/05/1959
22/07/1959,30/06/1959,01/06/1959
21/08/1959,31/07/1959,01/07/1959
23/09/1959,31/08/1959,01/08/1959
23/10/1959,30/09/1959,01/09/1959
25/11/1959,31/10/1959,01/10/1959
22/12/1959,30/11/1959,01/11/1959
22/01/1960,31/12/1959,01/12/1959
25/02/1960,31/01/1960,01/01/1960
25/03/1960,29/02/1960,01/02/1960
25/04/1960,31/03/1960,01/03/1960
25/05/1960,30/04/1960,01/04/1960
24/06/1960,31/05/1960,01/05/1960
22/07/1960,30/06/1960,01/06/1960
25/08/1960,31/07/1960,01/07/1960
23/09/1960,31/08/1960,01/08/1960
26/10/1960,30/09/1960,01/09/1960
25/11/1960,31/10/1960,01/10/1960
23/12/1960,30/11/1960,01/11/1960
27/01/1961,31/12/1960,01/12/1960
28/02/1961,31/01/1961,01/01/1961
24/03/1961,28/02/1961,01/02/1961
26/04/1961,31/03/1961,01/03/1961
25/05/1961,30/04/1961,01/04/1961
27/06/1961,31/05/1961,01/05/1961
25/07/1961,30/06/1961,01/06/1961
25/08/1961,31/07/1961,01/07/1961
26/09/1961,31/08/1961,01/08/1961
25/10/1961,30/09/1961,01/09/1961
28/11/1961,31/10/1961,01/10/1961
22/12/1961,30/11/1961,01/11/1961
26/01/1962,31/12/1961,01/12/1961
28/02/1962,31/01/1962,01/01/1962
27/03/1962,28/02/1962,01/02/1962
24/04/1962,31/03/1962,01/03/1962
25/05/1962,30/04/1962,01/04/1962
26/06/1962,31/05/1962,01/05/1962
25/07/1962,30/06/1962,01/06/1962
28/08/1962,31/07/1962,01/07/1962
25/09/1962,31/08/1962,01/08/1962
26/10/1962,30/09/1962,01/09/1962
28/11/1962,31/10/1962,01/10/1962
21/12/1962,30/11/1962,01/11/1962
25/01/1963,31/12/1962,01/12/1962
27/02/1963,31/01/1963,01/01/1963
27/03/1963,28/02/1963,01/02/1963
25/04/1963,31/03/1963,01/03/1963
28/05/1963,30/04/1963,01/04/1963
26/06/1963,31/05/1963,01/05/1963
26/07/1963,30/06/1963,01/06/1963
27/08/1963,31/07/1963,01/07/1963
25/09/1963,31/08/1963,01/08/1963
30/10/1963,30/09/1963,01/09/1963
29/11/1963,31/10/1963,01/10/1963
27/12/1963,30/11/1963,01/11/1963
29/01/1964,31/12/1963,01/12/1963
03/03/1964,31/01/1964,01/01/1964
31/03/1964,29/02/1964,01/02/1964
30/04/1964,31/03/1964,01/03/1964
28/05/1964,30/04/1964,01/04/1964
26/06/1964,31/05/1964,01/05/1964
31/07/1964,30/06/1964,01/06/1964
28/08/1964,31/07/1964,01/07/1964
30/09/1964,31/08/1964,01/08/1964
30/10/1964,30/09/1964,01/09/1964
30/11/1964,31/10/1964,01/10/1964
30/12/1964,30/11/1964,01/11/1964
28/01/1965,31/12/1964,01/12/1964
26/02/1965,31/01/1965,01/01/1965
30/03/1965,28/02/1965,01/02/1965
28/04/1965,31/03/1965,01/03/1965
27/05/1965,30/04/1965,01/04/1965
30/06/1965,31/05/1965,01/05/1965
29/07/1965,30/06/1965,01/06/1965
27/08/1965,31/07/1965,01/07/1965
29/09/1965,31/08/1965,01/08/1965
28/10/1965,30/09/1965,01/09/1965
30/11/1965,31/10/1965,01/10/1965
30/12/1965,30/11/1965,01/11/1965
27/01/1966,31/12/1965,01/12/1965
28/02/1966,31/01/1966,01/01/1966
29/03/1966,28/02/1966,01/02/1966
21/04/1966,31/03/1966,01/03/1966
20/05/1966,30/04/1966,01/04/1966
21/06/1966,31/05/1966,01/05/1966
21/07/1966,30/06/1966,01/06/1966
22/08/1966,31/07/1966,01/07/1966
22/09/1966,31/08/1966,01/08/1966
20/10/1966,30/09/1966,01/09/1966
23/11/1966,31/10/1966,01/10/1966
22/12/1966,30/11/1966,01/11/1966
20/01/1967,31/12/1966,01/12/1966
20/02/1967,31/01/1967,01/01/1967
20/03/1967,28/02/1967,01/02/1967
26/04/1967,31/03/1967,01/03/1967
23/05/1967,30/04/1967,01/04/1967
28/06/1967,31/05/1967,01/05/1967
26/07/1967,30/06/1967,01/06/1967
25/08/1967,31/07/1967,01/07/1967
27/09/1967,31/08/1967,01/08/1967
26/10/1967,30/09/1967,01/09/1967
29/11/1967,31/10/1967,01/10/1967
22/12/1967,30/11/1967,01/11/1967
25/01/1968,31/12/1967,01/12/1967
29/02/1968,31/01/1968,01/01/1968
27/03/1968,29/02/1968,01/02/1968
26/04/1968,31/03/1968,01/03/1968
28/05/1968,30/04/1968,01/04/1968
28/06/1968,31/05/1968,01/05/1968
31/07/1968,30/06/1968,01/06/1968
27/08/1968,31/07/1968,01/07/1968
26/09/1968,31/08/1968,01/08/1968
29/10/1968,30/09/1968,01/09/1968
27/11/1968,31/10/1968,01/10/1968
27/12/1968,30/11/1968,01/11/1968
29/01/1969,31/12/1968,01/12/1968
25/02/1969,31/01/1969,01/01/1969
25/03/1969,28/02/1969,01/02/1969
24/04/1969,31/03/1969,01/03/1969
22/05/1969,30/04/1969,01/04/1969
24/06/1969,31/05/1969,01/05/1969
23/07/1969,30/06/1969,01/06/1969
22/08/1969,31/07/1969,01/07/1969
22/09/1969,31/08/1969,01/08/1969
22/10/1969,30/09/1969,01/09/1969
21/11/1969,31/10/1969,01/10/1969
19/12/1969,30/11/1969,01/11/1969
19/01/1970,31/12/1969,01/12/1969
19/02/1970,31/01/1970,01/01/1970
20/03/1970,28/02/1970,01/02/1970
22/04/1970,31/03/1970,01/03/1970
20/05/1970,30/04/1970,01/04/1970
18/06/1970,31/05/1970,01/05/1970
21/07/1970,30/06/1970,01/06/1970
21/08/1970,31/07/1970,01/07/1970
19/09/1970,31/08/1970,01/08/1970
21/10/1970,30/09/1970,01/09/1970
20/11/1970,31/10/1970,01/10/1970
23/12/1970,30/11/1970,01/11/1970
29/01/1971,31/12/1970,01/12/1970
19/02/1971,31/01/1971,01/01/1971
19/03/1971,28/02/1971,01/02/1971
22/04/1971,31/03/1971,01/03/1971
21/05/1971,30/04/1971,01/04/1971
22/06/1971,31/05/1971,01/05/1971
22/07/1971,30/06/1971,01/06/1971
20/08/1971,31/07/1971,01/07/1971
22/09/1971,31/08/1971,01/08/1971
22/10/1971,30/09/1971,01/09/1971
19/11/1971,31/10/1971,01/10/1971
22/12/1971,30/11/1971,01/11/1971
21/01/1972,31/12/1971,01/12/1971
23/02/1972,31/01/1972,01/01/1972
22/03/1972,29/02/1972,01/02/1972
21/04/1972,31/03/1972,01/03/1972
19/05/1972,30/04/1972,01/04/1972
21/06/1972,31/05/1972,01/05/1972
21/07/1972,30/06/1972,01/06/1972
22/08/1972,31/07/1972,01/07/1972
22/09/1972,31/08/1972,01/08/1972
20/10/1972,30/09/1972,01/09/1972
21/11/1972,31/10/1972,01/10/1972
22/12/1972,30/11/1972,01/11/1972
23/01/1973,31/12/1972,01/12/1972
22/02/1973,31/01/1973,01/01/1973
21/03/1973,28/02/1973,01/02/1973
20/04/1973,31/03/1973,01/03/1973
22/05/1973,30/04/1973,01/04/1973
21/06/1973,31/05/1973,01/05/1973
20/07/1973,30/06/1973,01/06/1973
21/08/1973,31/07/1973,01/07/1973
21/09/1973,31/08/1973,01/08/1973
19/10/1973,30/09/1973,01/09/1973
21/11/1973,31/10/1973,01/10/1973
21/12/1973,30/11/1973,01/11/1973
22/01/1974,31/12/1973,01/12/1973
22/02/1974,31/01/1974,01/01/1974
21/03/1974,28/02/1974,01/02/1974
19/04/1974,31/03/1974,01/03/1974
21/05/1974,30/04/1974,01/04/1974
21/06/1974,31/05/1974,01/05/1974
19/07/1974,30/06/1974,01/06/1974
21/08/1974,31/07/1974,01/07/1974
20/09/1974,31/08/1974,01/08/1974
22/10/1974,30/09/1974,01/09/1974
21/11/1974,31/10/1974,01/10/1974
20/12/1974,30/11/1974,01/11/1974
21/01/1975,31/12/1974,01/12/1974
21/02/1975,31/01/1975,01/01/1975
20/03/1975,28/02/1975,01/02/1975
22/04/1975,31/03/1975,01/03/1975
21/05/1975,30/04/1975,01/04/1975
20/06/1975,31/05/1975,01/05/1975
22/07/1975,30/06/1975,01/06/1975
21/08/1975,31/07/1975,01/07/1975
19/09/1975,31/08/1975,01/08/1975
22/10/1975,30/09/1975,01/09/1975
20/11/1975,31/10/1975,01/10/1975
19/12/1975,30/11/1975,01/11/1975
21/01/1976,31/12/1975,01/12/1975
20/02/1976,31/01/1976,01/01/1976
19/03/1976,29/02/1976,01/02/1976
21/04/1976,31/03/1976,01/03/1976
21/05/1976,30/04/1976,01/04/1976
22/06/1976,31/05/1976,01/05/1976
21/07/1976,30/06/1976,01/06/1976
20/08/1976,31/07/1976,01/07/1976
21/09/1976,31/08/1976,01/08/1976
21/10/1976,30/09/1976,01/09/1976
19/11/1976,31/10/1976,01/10/1976
21/12/1976,30/11/1976,01/11/1976
19/01/1977,31/12/1976,01/12/1976
18/02/1977,31/01/1977,01/01/1977
18/03/1977,28/02/1977,01/02/1977
21/04/1977,31/03/1977,01/03/1977
20/05/1977,30/04/1977,01/04/1977
21/06/1977,31/05/1977,01/05/1977
21/07/1977,30/06/1977,01/06/1977
19/08/1977,31/07/1977,01/07/1977
21/09/1977,31/08/1977,01/08/1977
21/10/1977,30/09/1977,01/09/1977
22/11/1977,31/10/1977,01/10/1977
21/12/1977,30/11/1977,01/11/1977
20/01/1978,31/12/1977,01/12/1977
27/02/1978,31/01/1978,01/01/1978
28/03/1978,28/02/1978,01/02/1978
28/04/1978,31/03/1978,01/03/1978
31/05/1978,30/04/1978,01/04/1978
30/06/1978,31/05/1978,01/05/1978
28/07/1978,30/06/1978,01/06/1978
29/08/1978,31/07/1978,01/07/1978
26/09/1978,31/08/1978,01/08/1978
26/10/1978,30/09/1978,01/09/1978
28/11/1978,31/10/1978,01/10/1978
22/12/1978,30/11/1978,01/11/1978
24/01/1979,31/12/1978,01/12/1978
23/02/1979,31/01/1979,01/01/1979
23/03/1979,28/02/1979,01/02/1979
26/04/1979,31/03/1979,01/03/1979
25/05/1979,30/04/1979,01/04/1979
26/06/1979,31/05/1979,01/05/1979
26/07/1979,30/06/1979,01/06/1979
24/08/1979,31/07/1979,01/07/1979
25/09/1979,31/08/1979,01/08/1979
26/10/1979,30/09/1979,01/09/1979
27/11/1979,31/10/1979,01/10/1979
21/12/1979,30/11/1979,01/11/1979
25/01/1980,31/12/1979,01/12/1979
22/02/1980,31/01/1980,01/01/1980
25/03/1980,29/02/1980,01/02/1980
22/04/1980,31/03/1980,01/03/1980
23/05/1980,30/04/1980,01/04/1980
24/06/1980,31/05/1980,01/05/1980
23/07/1980,30/06/1980,01/06/1980
22/08/1980,31/07/1980,01/07/1980
23/09/1980,31/08/1980,01/08/1980
24/10/1980,30/09/1980,01/09/1980
25/11/1980,31/10/1980,01/10/1980
23/12/1980,30/11/1980,01/11/1980
23/01/1981,31/12/1980,01/12/1980
25/02/1981,31/01/1981,01/01/1981
24/03/1981,28/02/1981,01/02/1981
23/04/1981,31/03/1981,01/03/1981
22/05/1981,30/04/1981,01/04/1981
23/06/1981,31/05/1981,01/05/1981
23/07/1981,30/06/1981,01/06/1981
25/08/1981,31/07/1981,01/07/1981
24/09/1981,31/08/1981,01/08/1981
23/10/1981,30/09/1981,01/09/1981
24/11/1981,31/10/1981,01/10/1981
22/12/1981,30/11/1981,01/11/1981
22/01/1982,31/12/1981,01/12/1981
25/02/1982,31/01/1982,01/01/1982
23/03/1982,28/02/1982,01/02/1982
23/04/1982,31/03/1982,01/03/1982
21/05/1982,30/04/1982,01/04/1982
22/06/1982,31/05/1982,01/05/1982
23/07/1982,30/06/1982,01/06/1982
24/08/1982,31/07/1982,01/07/1982
23/09/1982,31/08/1982,01/08/1982
26/10/1982,30/09/1982,01/09/1982
23/11/1982,31/10/1982,01/10/1982
21/12/1982,30/11/1982,01/11/1982
21/01/1983,31/12/1982,01/12/1982
25/02/1983,31/01/1983,01/01/1983
23/03/1983,28/02/1983,01/02/1983
22/04/1983,31/03/1983,01/03/1983
24/05/1983,30/04/1983,01/04/1983
22/06/1983,31/05/1983,01/05/1983
22/07/1983,30/06/1983,01/06/1983
23/08/1983,31/07/1983,01/07/1983
23/09/1983,31/08/1983,01/08/1983
25/10/1983,30/09/1983,01/09/1983
23/11/1983,31/10/1983,01/10/1983
21/12/1983,30/11/1983,01/11/1983
24/01/1984,31/12/1983,01/12/1983
24/02/1984,31/01/1984,01/01/1984
23/03/1984,29/02/1984,01/02/1984
24/04/1984,31/03/1984,01/03/1984
22/05/1984,30/04/1984,01/04/1984
22/06/1984,31/05/1984,01/05/1984
24/07/1984,30/06/1984,01/06/1984
22/08/1984,31/07/1984,01/07/1984
21/09/1984,31/08/1984,01/08/1984
24/10/1984,30/09/1984,01/09/1984
21/11/1984,31/10/1984,01/10/1984
20/12/1984,30/11/1984,01/11/1984
23/01/1985,31/12/1984,01/12/1984
26/02/1985,31/01/1985,01/01/1985
22/03/1985,28/02/1985,01/02/1985
23/04/1985,31/03/1985,01/03/1985
21/05/1985,30/04/1985,01/04/1985
20/06/1985,31/05/1985,01/05/1985
